reference_designator,name,start_depth,end_depth,location
CE05MOAS-GL312-02-FLORTM000,3-Wavelength Fluorometer,0,1000,
CE05MOAS-GL312-03-ADCPAM000,Velocity Profiler (600kHz),0,1000,
CE05MOAS-GL312-04-DOSTAM000,Dissolved Oxygen,0,1000,
CE05MOAS-GL312-05-CTDGVM000,CTD,0,1000,
CE05MOAS-GL319-00-ENG000000,Mobile Asset Controller,0,200,
CE05MOAS-GL319-01-PARADM000,Photosynthetically Available Radiation,0,200,
CE05MOAS-GL319-02-FLORTM000,3-Wavelength Fluorometer,0,200,
CE05MOAS-GL319-03-ADCPAM000,Velocity Profiler (600kHz),0,200,
CE05MOAS-GL319-04-DOSTAM000,Dissolved Oxygen,0,200,
CE05MOAS-GL319-05-CTDGVM000,CTD,0,200,
CE05MOAS-GL320-00-ENG000000,Mobile Asset Controller,0,1000,
CE05MOAS-GL320-01-PARADM000,Photosynthetically Available Radiation,0,1000,
CE05MOAS-GL320-02-FLORTM000,3-Wavelength Fluorometer,0,1000,
CE05MOAS-GL320-03-ADCPAM000,Velocity Profiler (600kHz),0,1000,
CE05MOAS-GL320-04-DOSTAM000,Dissolved Oxygen,0,1000,
CE05MOAS-GL320-05-CTDGVM000,CTD,0,1000,
CE05MOAS-GL326-00-ENG000000,Mobile Asset Controller,0,200,
CE05MOAS-GL326-01-PARADM000,Photosynthetically Available Radiation,0,200,
CE05MOAS-GL326-02-FLORTM000,3-Wavelength Fluorometer,0,200,
CE05MOAS-GL326-03-ADCPAM000,Velocity Profiler (600kHz),0,0,
CE05MOAS-GL326-04-DOSTAM000,Dissolved Oxygen,0,200,
CE05MOAS-GL326-05-CTDGVM000,CTD,0,200,
CE05MOAS-GL327-00-ENG000000,Mobile Asset Controller,0,200,
CE05MOAS-GL327-01-PARADM000,Photosynthetically Available Radiation,0,200,
CE05MOAS-GL327-02-FLORTM000,3-Wavelength Fluorometer,0,200,
CE05MOAS-GL327-03-ADCPAM000,Velocity Profiler (600kHz),0,200,
CE05MOAS-GL327-04-DOSTAM000,Dissolved Oxygen,0,200,
CE05MOAS-GL327-05-CTDGVM000,CTD,0,200,
CE05MOAS-GL381-00-ENG000000,Mobile Asset Controller,0,200,
CE05MOAS-GL381-01-PARADM000,Photosynthetically Available Radiation,0,200,
CE05MOAS-GL381-02-FLORTM000,3-Wavelength Fluorometer,0,200,
CE05MOAS-GL381-03-ADCPAM000,Velocity Profiler (600kHz),0,200,
CE05MOAS-GL381-04-DOSTAM000,Dissolved Oxygen,0,200,
CE05MOAS-GL381-05-CTDGVM000,CTD,0,200,
CE05MOAS-GL382-00-ENG000000,Mobile Asset Controller,0,200,
