Array,CUID,CTD_CruiseName,CTD_CruiseLeg,Notes,filepath_primary,Quick_Look_Report,Cruise_Report,filepath_water_sampling,CTD_log_filename,chla_filename,nutrients_filename,DIC_TA_pH_filename
Coastal_Pioneer,AR-24,Pioneer09,AR-24A,,/Volumes/webdav/OOI/Coastal Pioneer Array/Cruise Data/Pioneer-09_AR-24_2017-10-22/,3204-00902_Quick_Look_Cruise_Report_Coastal_Pioneer_9_Leg_1_2017-10-25_Ver_1-00.pdf,missing,Ship Data/Water Sampling/,Pioneer_9_Leg_1_CTD_sampling_log.xlsx,no_samples,no_samples,no_samples
Coastal_Pioneer,AR-24,Pioneer09,AR-24B,,/Volumes/webdav/OOI/Coastal Pioneer Array/Cruise Data/Pioneer-09_AR-24_2017-10-22/,3204-00903_Quick_Look_Cruise_Report_Coastal_Pioneer_9_Leg_2_2017-11-13_Ver_1-00.pdf,missing,Ship Data/Water Sampling/,Pioneer_9_Leg_2_CTD_sampling_log.xlsx,missing,Pioneer-9_AR-24B_Nutrient_Lab_Results.xlsx,missing
Coastal_Pioneer,AR-24,Pioneer09,AR-24C,,/Volumes/webdav/OOI/Coastal Pioneer Array/Cruise Data/Pioneer-09_AR-24_2017-10-22/,3204-00904_Quick_Look_Cruise_Report_Coastal_Pioneer_9_Leg_3_2017-11-13_Ver_1-00.pdf,missing,Ship Data/Water Sampling/,Pioneer_9_Leg_3_CTD_sampling_log.xlsx,missing,Pioneer-9_AR-24C_Nutrient_Lab_Results.xlsx,missing
Coastal_Pioneer,P9a,Pioneer09a,,,/Volumes/webdav/OOI/Coastal Pioneer Array/Cruise Data/Pioneer-09a_2018-01-26/,3204-00907_Quick_Look_Cruise_Report_Coastal_Pioneer_9a_2018-03-16_Ver_1-00.pdf,not_expected,,missing,no_samples,no_samples,no_samples
Coastal_Pioneer,AR1-07,SVC-III,,,/Volumes/webdav/OOI/Coastal Pioneer Array/Cruise Data/Pioneer-SVC-III_AR-1-07_2016-04-02/,3204-00507_Quick_Look_Cruise_Report_Coastal_Pioneer_SVC-III_2016-05-02_Ver_1-00.pdf,not_expected,Ship Data/Water Sampling/,missing,Pioneer-SVCIII_AR01-07_chlorophyll_analysis.xlsx,Pioneer-SVCIII_AR01-07_Nutrient_Lab_Results.xlsx,missing
Coastal_Pioneer,AR-03,SVC-IV,,,/Volumes/webdav/OOI/Coastal Pioneer Array/Cruise Data/Pioneer-SVC-IV_AR-03_2016-05-02/,3204-00509_Quick_Look_Cruise_Report_Coastal_Pioneer_SVC-IV_2016-08-10_Ver_1-00.pdf,not_expected,,missing,no_samples,no_samples,no_samples
Coastal_Pioneer,AR-28,Pioneer10,AR-28A,,/Volumes/webdav/OOI/Coastal Pioneer Array/Cruise Data/Pioneer-10_AR-28_2018-03-23/,3204-01002_Quick_Look_Report_Pioneer_10_Leg_1_2018-04-03_Ver_1-00.pdf,expected,Ship Data/Water Sampling/,Pioneer-10_CTD_sampling_log_Leg_1.xlsx,expected,AR-28_Nutrient_Lab_Results.xlsx,expected
Coastal_Pioneer,AR-28,Pioneer10,AR-28B,,/Volumes/webdav/OOI/Coastal Pioneer Array/Cruise Data/Pioneer-10_AR-28_2018-03-23/,3204-01003_Quick_Look_Cruise_Report_Coastal_Pioneer_10_Leg_2_2018-04-17_Ver_1-00.pdf,expected,Ship Data/Water Sampling/,Pioneer-10_CTD_sampling_log_Leg_2.xlsx,expected,AR-28_Nutrient_Lab_Results.xlsx,expected
Coastal_Pioneer,P10a,Pioneer10a,,,/Volumes/webdav/OOI/Coastal Pioneer Array/Cruise Data/Pioneer-10a_2018-04-23/,expected,not_expected,,,,,
Global_Argentine_Basin,AT-26-30,GA1,,,/Volumes/webdav/OOI/Global Argentine Basin Array/Cruise Data/Argentine_Basin-01_AT-26-30_2015-03-08/,3206-00102_Quick_Look_Cruise_Report_Argentine_Basin_1_2015-04-23_Ver_1-01.pdf,3206-00103_Cruise_Report_Argentine_Basin_1_2015-07-12_Ver_1-00.pdf,Ship Data/water_samples/,missing,Argentine_Basin-1_AT26-30_chlorophyll_analysis.xlsx,Argentine-1_AT26-30_Nutrient_Lab_Results.xlsx,missing
