reference_designator,start_depth,end_depth,location
CE09OSPM-WF001-02-DOFSTK000,15,540,Wire Following Profiler Body
CE09OSPM-WF001-03-CTDPFK000,15,540,Wire Following Profiler Body
CE09OSPM-WF001-04-FLORTK000,15,540,Wire Following Profiler Body
CE09OSPM-WF001-05-PARADK000,15,540,Wire Following Profiler Body
CE09OSSM-MFD35-01-VEL3DD000,540,540,Multi-Function Node
CE09OSSM-MFD35-02-PRESFC000,540,540,Multi-Function Node
CE09OSSM-MFD35-04-ADCPSJ000,540,540,Multi-Function Node
CE09OSSM-MFD35-05-PCO2WB000,540,540,Multi-Function Node
CE09OSSM-MFD35-06-PHSEND000,540,540,Multi-Function Node
CE09OSSM-MFD37-01-OPTAAC000,540,540,Multi-Function Node
CE09OSSM-MFD37-03-CTDBPE000,540,540,Multi-Function Node
CE09OSSM-MFD37-04-DOSTAD000,540,540,Multi-Function Node
CE09OSSM-MFD37-06-CAMDSA000,540,540,Multi-Function Node
CE09OSSM-MFD37-07-ZPLSCC000,540,540,Multi-Function Node
CE09OSSM-RID26-01-ADCPTC000,7,7,Near Surface Instrument Frame
CE09OSSM-RID26-04-VELPTA000,7,7,Near Surface Instrument Frame
CE09OSSM-RID26-05-ACOMM0000,7,7,Near Surface Instrument Frame
CE09OSSM-RID26-06-PHSEND000,7,7,Near Surface Instrument Frame
CE09OSSM-RID26-07-NUTNRB000,7,7,Near Surface Instrument Frame
CE09OSSM-RID26-08-SPKIRB000,7,7,Near Surface Instrument Frame
CE09OSSM-RID27-01-OPTAAD000,7,7,Near Surface Instrument Frame
CE09OSSM-RID27-02-FLORTD000,7,7,Near Surface Instrument Frame
CE09OSSM-RID27-03-CTDBPC000,7,7,Near Surface Instrument Frame
CE09OSSM-RID27-04-DOSTAD000,7,7,Near Surface Instrument Frame
CE09OSSM-SBD11-01-MOPAK0000,0,0,"Buoy Well, center of Mass"
CE09OSSM-SBD11-02-HYDGN0000,0,0,Buoy Well
CE09OSSM-SBD11-04-VELPTA000,1,1,Bottom of Buoy
CE09OSSM-SBD11-06-METBKA000,-3,-3,Buoy Tower
CE09OSSM-SBD12-03-HYDGN0000,0,0,Buoy Well
CE09OSSM-SBD12-04-PCO2AA000,0,0,"Buoy Well (1 probe in air, 1 probe in water)"
CE09OSSM-SBD12-05-WAVSSA000,0,0,"Buoy Well, center of Mass"
CP01CNSM-MFD35-01-ADCPTF000,133,133,Multi-Function Node
CP01CNSM-MFD35-02-PRESFB000,133,133,Multi-Function Node
CP01CNSM-MFD35-04-VELPTA000,133,133,Multi-Function Node
CP01CNSM-MFD35-05-PCO2WB000,133,133,Multi-Function Node
CP01CNSM-MFD35-06-PHSEND000,133,133,Multi-Function Node
CP01CNSM-MFD37-01-OPTAAD000,133,133,Multi-Function Node
CP01CNSM-MFD37-03-CTDBPD000,133,133,Multi-Function Node
CP01CNSM-MFD37-04-DOSTAD000,133,133,Multi-Function Node
CP01CNSM-MFD37-07-ZPLSCC000,133,133,Multi-Function Node
CP01CNSM-RID26-04-VELPTA000,7,7,Near Surface Instrument Frame
CP01CNSM-RID26-05-ACOMM0000,7,7,Near Surface Instrument Frame
CP01CNSM-RID26-06-PHSEND000,7,7,Near Surface Instrument Frame
CP01CNSM-RID26-07-NUTNRB000,7,7,Near Surface Instrument Frame
CP01CNSM-RID26-08-SPKIRB000,7,7,Near Surface Instrument Frame
CP01CNSM-RID27-01-OPTAAD000,7,7,Near Surface Instrument Frame
CP01CNSM-RID27-02-FLORTD000,7,7,Near Surface Instrument Frame
CP01CNSM-RID27-03-CTDBPC000,7,7,Near Surface Instrument Frame
CP01CNSM-RID27-04-DOSTAD000,7,7,Near Surface Instrument Frame
CP01CNSM-SBD11-01-MOPAK0000,0,0,"Buoy Well, center of Mass"
CP01CNSM-SBD11-02-HYDGN0000,0,0,Buoy Well
CP01CNSM-SBD11-06-METBKA000,-3,-3,Buoy Tower
CP01CNSM-SBD12-03-HYDGN0000,0,0,Buoy Well
CP01CNSM-SBD12-04-PCO2AA000,0,0,"Buoy Well (1 probe in air, 1 probe in water)"
CP01CNSM-SBD12-05-WAVSSA000,0,0,"Buoy Well, center of Mass"
CP01CNSM-SBD12-06-METBKA000,-3,-3,Buoy Tower
CP01CNSM-SBD12-08-FDCHPA000,-3,-3,Buoy Tower
CP01CNSP-PL001-01-ACOMM0000,0,100,Surface Piercing Profiler
CP01CNSP-SP001-02-OPTAAJ000,0,100,Surface Piercing Profiler
CP01CNSP-SP001-03-NUTNRJ000,0,100,Surface Piercing Profiler
CP01CNSP-SP001-05-VELPTJ000,0,100,Surface Piercing Profiler
CP01CNSP-SP001-06-DOSTAJ000,0,100,Surface Piercing Profiler
CP01CNSP-SP001-07-SPKIRJ000,0,100,Surface Piercing Profiler
CP01CNSP-SP001-08-CTDPFJ000,0,100,Surface Piercing Profiler
CP01CNSP-SP001-09-FLORTJ000,0,100,Surface Piercing Profiler
CP01CNSP-SP001-10-PARADJ000,0,100,Surface Piercing Profiler
CP02PMCI-RII01-02-ADCPTG010,104,104,Sensor cage
CP02PMCI-SBS01-01-MOPAK0000,0,0,"Buoy Well, center of Mass"
CP02PMCI-WFP01-01-VEL3DK000,15,104,Wire Following Profiler Body
CP02PMCI-WFP01-02-DOFSTK000,15,104,Wire Following Profiler Body
CP02PMCI-WFP01-03-CTDPFK000,15,104,Wire Following Profiler Body
CP02PMCI-WFP01-04-FLORTK000,15,104,Wire Following Profiler Body
CP02PMCI-WFP01-05-PARADK000,15,104,Wire Following Profiler Body
CP02PMCO-RII01-02-ADCPTG010,125,125,Sensor cage
CP02PMCO-SBS01-01-MOPAK0000,0,0,"Buoy Well, center of Mass"
CP02PMCO-WFP01-01-VEL3DK000,15,125,Wire Following Profiler Body
CP02PMCO-WFP01-02-DOFSTK000,15,125,Wire Following Profiler Body
CP02PMCO-WFP01-03-CTDPFK000,15,125,Wire Following Profiler Body
CP02PMCO-WFP01-04-FLORTK000,15,125,Wire Following Profiler Body
CP02PMCO-WFP01-05-PARADK000,15,125,Wire Following Profiler Body
CP02PMUI-RII01-02-ADCPTG010,70,70,Sensor cage
CP02PMUI-SBS01-01-MOPAK0000,0,0,"Buoy Well, center of Mass"
CP02PMUI-WFP01-01-VEL3DK000,15,70,Wire Following Profiler Body
CP02PMUI-WFP01-02-DOFSTK000,15,70,Wire Following Profiler Body
CP02PMUI-WFP01-03-CTDPFK000,15,70,Wire Following Profiler Body
CP02PMUI-WFP01-04-FLORTK000,15,70,Wire Following Profiler Body
CP02PMUI-WFP01-05-PARADK000,15,70,Wire Following Profiler Body
CP02PMUO-RII01-02-ADCPSL010,425,425,Sensor cage
CP02PMUO-SBS01-01-MOPAK0000,0,0,"Buoy Well, center of Mass"
CP02PMUO-WFP01-01-VEL3DK000,20,425,Wire Following Profiler Body
CP02PMUO-WFP01-02-DOFSTK000,20,425,Wire Following Profiler Body
CP02PMUO-WFP01-03-CTDPFK000,20,425,Wire Following Profiler Body
CP02PMUO-WFP01-04-FLORTK000,20,425,Wire Following Profiler Body
CP02PMUO-WFP01-05-PARADK000,20,425,Wire Following Profiler Body
CP03ISSM-MFD35-01-ADCPTF000,91.5,91.5,Multi-Function Node
CP03ISSM-MFD35-02-PRESFB000,91.5,91.5,Multi-Function Node
CP03ISSM-MFD35-04-VELPTA000,91.5,91.5,Multi-Function Node
CP03ISSM-MFD35-05-PCO2WB000,91.5,91.5,Multi-Function Node
CP03ISSM-MFD35-06-PHSEND000,91.5,91.5,Multi-Function Node
CP03ISSM-MFD37-01-OPTAAD000,91.5,91.5,Multi-Function Node
CP03ISSM-MFD37-03-CTDBPD000,91.5,91.5,Multi-Function Node
CP03ISSM-MFD37-04-DOSTAD000,91.5,91.5,Multi-Function Node
CP03ISSM-MFD37-07-ZPLSCC000,91.5,91.5,Multi-Function Node
CP03ISSM-RID26-04-VELPTA000,7,7,Near Surface Instrument Frame
CP03ISSM-RID26-05-ACOMM0000,7,7,Near Surface Instrument Frame
CP03ISSM-RID26-06-PHSEND000,7,7,Near Surface Instrument Frame
CP03ISSM-RID26-07-NUTNRB000,7,7,Near Surface Instrument Frame
CP03ISSM-RID26-08-SPKIRB000,7,7,Near Surface Instrument Frame
CP03ISSM-RID27-01-OPTAAD000,7,7,Near Surface Instrument Frame
CP03ISSM-RID27-02-FLORTD000,7,7,Near Surface Instrument Frame
CP03ISSM-RID27-03-CTDBPC000,7,7,Near Surface Instrument Frame
CP03ISSM-RID27-04-DOSTAD000,7,7,Near Surface Instrument Frame
CP03ISSM-SBD11-01-MOPAK0000,0,0,"Buoy Well, center of Mass"
CP03ISSM-SBD11-02-HYDGN0000,0,0,Buoy Well
CP03ISSM-SBD11-06-METBKA000,-3,-3,Buoy Tower
CP03ISSM-SBD12-03-HYDGN0000,0,0,Buoy Well
CP03ISSM-SBD12-04-PCO2AA000,0,0,"Buoy Well (1 probe in air, 1 probe in water)"
CP03ISSP-PL001-01-ACOMM0000,0,80,Surface Piercing Profiler
CP03ISSP-SP001-02-OPTAAJ000,0,80,Surface Piercing Profiler
CP03ISSP-SP001-03-NUTNRJ000,0,80,Surface Piercing Profiler
CP03ISSP-SP001-05-VELPTJ000,0,80,Surface Piercing Profiler
CP03ISSP-SP001-06-DOSTAJ000,0,80,Surface Piercing Profiler
CP03ISSP-SP001-07-SPKIRJ000,0,80,Surface Piercing Profiler
CP03ISSP-SP001-08-CTDPFJ000,0,80,Surface Piercing Profiler
CP03ISSP-SP001-09-FLORTJ000,0,80,Surface Piercing Profiler
CP03ISSP-SP001-10-PARADJ000,0,80,Surface Piercing Profiler
CP04OSPM-SBS11-02-MOPAK0000,0,0,"Buoy Well, center of Mass"
CP04OSPM-WFP01-01-VEL3DK000,15,427,Wire Following Profiler Body
CP04OSPM-WFP01-02-DOFSTK000,15,427,Wire Following Profiler Body
CP04OSPM-WFP01-03-CTDPFK000,15,427,Wire Following Profiler Body
CP04OSPM-WFP01-04-FLORTK000,15,427,Wire Following Profiler Body
CP04OSPM-WFP01-05-PARADK000,15,427,Wire Following Profiler Body
CP04OSSM-MFD35-01-ADCPSJ000,450,450,Multi-Function Node
CP04OSSM-MFD35-02-PRESFC000,450,450,Multi-Function Node
CP04OSSM-MFD35-04-VELPTB000,450,450,Multi-Function Node
CP04OSSM-MFD35-05-PCO2WB000,450,450,Multi-Function Node
CP04OSSM-MFD35-06-PHSEND000,450,450,Multi-Function Node
CP04OSSM-MFD37-01-OPTAAD000,450,450,Multi-Function Node
CP04OSSM-MFD37-03-CTDBPE000,450,450,Multi-Function Node
CP04OSSM-MFD37-04-DOSTAD000,450,450,Multi-Function Node
CP04OSSM-MFD37-07-ZPLSCC000,450,450,Multi-Function Node
CP04OSSM-RID26-04-VELPTA000,7,7,Near Surface Instrument Frame
CP04OSSM-RID26-05-ACOMM0000,7,7,Near Surface Instrument Frame
CP04OSSM-RID26-06-PHSEND000,7,7,Near Surface Instrument Frame
CP04OSSM-RID26-07-NUTNRB000,7,7,Near Surface Instrument Frame
CP04OSSM-RID26-08-SPKIRB000,7,7,Near Surface Instrument Frame
CP04OSSM-RID27-01-OPTAAD000,7,7,Near Surface Instrument Frame
CP04OSSM-RID27-02-FLORTD000,7,7,Near Surface Instrument Frame
CP04OSSM-RID27-03-CTDBPC000,7,7,Near Surface Instrument Frame
CP04OSSM-RID27-04-DOSTAD000,7,7,Near Surface Instrument Frame
CP04OSSM-SBD11-01-MOPAK0000,0,0,"Buoy Well, center of Mass"
CP04OSSM-SBD11-02-HYDGN0000,0,0,Buoy Well
CP04OSSM-SBD11-06-METBKA000,-3,-3,Buoy Tower
